Category,Description,Inputs,Outputs,Status
Rune Trades,Lem Cheap,"Lem Rune,qty=3,Antidote Potion","Fal Rune,Ko Rune,Lum Rune",EXISTING
Rune Trades,Lem Fix,"Lem Rune,qty=2",Pul Rune,EXISTING
Rune Trades,Pul Break,Pul Rune,"Lem Rune,Lem Rune",EXISTING
Rune Trades,Pul Lem -> Um,"Pul Rune,Lem Rune",Um Rune,EXISTING
Rune Trades,Um -> Pul Lem,Um Rune,"Pul Rune,Lem Rune",EXISTING
Rune Trades,Pul Um -> Mal,"Um Rune,Pul Rune",Mal Rune,EXISTING
Rune Trades,Mal -> Um Pul,Mal Rune,"Um Rune,Pul Rune",EXISTING
Rune Trades,Mal Um -> Ist,"Mal Rune,Um Rune",Ist Rune,EXISTING
Rune Trades,Ist -> Mal Um,Ist Rune,"Mal Rune,Um Rune",EXISTING
Rune Trades,Ist Mal -> Gul,"Mal Rune,Ist Rune",Gul Rune,EXISTING
Rune Trades,Gul -> Ist Mal,Gul Rune,"Ist Rune,Mal Rune",EXISTING
Rune Trades,3 Ist -> Vex,"Ist Rune,qty=3",Vex Rune,EXISTING
Rune Trades,Vex -> 3 Ist,Vex Rune,"Ist Rune,Ist Rune,Ist Rune",EXISTING
Rune Trades,1 Vex 2 Ist -> Ohm,"Vex Rune,Ist Rune,qty=2",Ohm Rune,EXISTING
Rune Trades,Ohm -> 1 Vex 2 Ist,Ohm Rune,"Vex Rune,Ist Rune,Ist Rune",EXISTING
Rune Trades,Ohm Vex Ist -> Lo,"Ist Rune,Vex Rune,Ohm Rune",Lo Rune,EXISTING
Rune Trades,Lo -> Ohm Vex Ist,Lo Rune,"Ohm Rune,Vex Rune,Ist Rune",EXISTING
Rune Trades,3 Ohm -> Sur,"Ohm Rune,qty=3",Sur Rune,EXISTING
Rune Trades,Sur -> 3 Ohm,Sur Rune,"Ohm Rune,Ohm Rune,Ohm Rune",EXISTING
Rune Trades,Ber -> Sur Lo Vex,Ber Rune,"Sur Rune,Lo Rune,Vex Rune",EXISTING
Rune Trades,Sur Lo Vex -> Ber,"Vex Rune,Lo Rune,Sur Rune",Ber Rune,EXISTING
Rune Trades,Jah -> Ber Lo,Jah Rune,"Ber Rune,Lo Rune",EXISTING
Rune Trades,Ber Lo -> Jah,"Lo Rune,Ber Rune",Jah Rune,EXISTING
Rune Trades,Cham -> Vex Gul Ist,Cham Rune,"Vex Rune,Gul Rune,Ist Rune",EXISTING
Rune Trades,Vex Gul Ist -> Cham,"Gul Rune,Ist Rune,Vex Rune",Cham Rune,EXISTING
Rune Trades,Zod -> Ohm Vex Gul,Zod Rune,"Ohm Rune,Vex Rune,Gul Rune",EXISTING
Rune Trades,Ohm Vex Gul -> Zod,"Gul Rune,Vex Rune,Ohm Rune",Zod Rune,EXISTING
Gem Market,Lem for 3 Hel,"Lem Rune,Antidote Potion,Town Portal Scroll","Hel Rune,Hel Rune,Hel Rune",EXISTING
Gem Market,Lem Cash,"Lem Rune,Antidote Potion","Perfect Diamond,Perfect Emerald,Perfect Topaz",EXISTING
Gem Market,10 Diamond -> Pul,"Perfect Diamond,qty=10,Stamina Potion",Pul Rune,EXISTING
Gem Market,10 Emerald -> Pul,"Perfect Emerald,qty=10,Stamina Potion",Pul Rune,EXISTING
Gem Market,10 Sapphire -> Pul,"Perfect Sapphire,qty=10,Stamina Potion",Pul Rune,EXISTING
Gem Market,10 Topaz -> Pul,"Perfect Topaz,qty=10,Stamina Potion",Pul Rune,EXISTING
Gem Market,10 Ruby -> Um,"Perfect Ruby,qty=10,Stamina Potion",Um Rune,EXISTING
Gem Market,10 Skull -> Um,"Perfect Skull,qty=10,Stamina Potion",Um Rune,EXISTING
Gem Market,10 Amethyst -> Mal,"Perfect Amethyst,qty=10,Stamina Potion",Mal Rune,EXISTING
Gem Market,Lem -> 3 P Sapphires,"Lem Rune,Stamina Potion,Identify Scroll","Perfect Sapphire,Perfect Sapphire,Perfect Sapphire",EXISTING
Gem Market,Lem -> 3 P Skulls,"Lem Rune,Antidote Potion,Identify Scroll","Perfect Skull,Perfect Skull,Perfect Skull",EXISTING
Gem Market,Lem -> 3 P Rubies,"Lem Rune,Thawing Potion,Identify Scroll","Perfect Ruby,Perfect Ruby,Perfect Ruby",EXISTING
Gem Market,Pul -> 3 P Amethysts,"Pul Rune,Stamina Potion,Identify Scroll","Perfect Amethyst,Perfect Amethyst,Perfect Amethyst",EXISTING
Gem Market,10 of a kind El-Fal -> Um,"10x rune, Stamina potion ",Um Rune,EXISTING
UniqueSet Market,Ist -> Rainbow Facet,"Ist Rune,Jewel,Stamina Potion",Rainbow Facet,EXISTING
UniqueSet Market,Rainbow Facet -> Mal,"Rainbow Facet,Antidote Potion",Mal Rune,EXISTING
UniqueSet Market,Um Rune -> Natalya's Totem,"Stamina Potion,Um Rune,Grim Helm,Town Portal Scroll",Natalya's Totem,EXISTING
UniqueSet Market,Natalya's Totem -> Pul Rune,"Antidote Potion,Natalya's Totem",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Natalya's Mark,"Stamina Potion,Mal Rune,Scissors Suwayh,Town Portal Scroll",Natalya's Mark,EXISTING
UniqueSet Market,Natalya's Mark -> Um Rune,"Antidote Potion,Natalya's Mark",Um Rune,EXISTING
UniqueSet Market,Um Rune -> Natalya's Soul,"Stamina Potion,Um Rune,Mesh Boots,Town Portal Scroll",Natalya's Soul,EXISTING
UniqueSet Market,Natalya's Soul -> Pul Rune,"Antidote Potion,Natalya's Soul",Pul Rune,EXISTING
UniqueSet Market,Mal Rune -> Aldur's Advance,"Stamina Potion,Mal Rune,Battle Boots,Town Portal Scroll",Aldur's Advance,EXISTING
